text,labels
"#Coronavirus, #Sardegna: altri 23 nuovi positivi nella giornata di oggi https://t.co/iIMc87bzj1",fear (Q)
"Una persona nella posizione di Ricciardi non può, anche involontariamente - il che sarebbe pure peggio- , insinuare la tesi della ""Sardegna terra untrice"".È vergognoso.",anger (W)
Dynamite! Che altro!!???!!! @BTS_twt#BTS#BTSDynamiteEcco un brano per te… Dynamite di BTShttps://t.co/Svk4u3oJVk,joy (R)
@Quirinale boldrini Sono d’accordo che le opposizioni parlano troppo e spesso a vanvera ma l’esecutivo che ci amministra e molto peggio perché spreca miliardi di € e non fa nulla di buono. Draghi e stato chiaro. I dati certi dicono che il covid 19 ora non è letale.agli it resta solo la riv,anger (W)
"facciamo una cosa bella, commentate coj stream walls e vi spammo qualcosa dalla mia galleria non lo so ma voi fatelo",joy (R)
"@angy52 45% di rientro dalla Sardegna, maledettissimi stronzi",anger (W)
"lasciamo perdere perché sono nera, perché oltre a questo molti turisti sono di una maleducazione unica zero mascherine e in spiaggia più ti stanno vicino più sono contenti",anger (W)
Questo è il gufo con più poteri al mondo. Fino a qua non ne ha sbagliata una.Vince il PSG stasera #UCLfinal,anger (W)
"SPOILER🚨#LuciferSeason5 comunque la stagione mi è piaciuta un sacco,lasciamo maze da parte che è meglio,ad ogni momento deckerstar stavo letteralmente piangendo poi ho amato ancora di più linda e sinceramente ho apprezzato anche dan come personaggio OKAY ORA TORNO A PIANGERE",joy (R)
ma sono l'unica che la sensazione che i bellarke faranno la stessa fine di Elijah e Hayley? (Hayley morta per colpa di Elijah Elijah che si sacrifica per senso di colpa) #the100,sadness (E)
Rita riflettici tutta la storia del Covid è usata male e contro di noi!È il governo abusivo che non va bene!,anger (W)
Ci sono 👍🖤💙⚫🔵⚫💙Daiiii tifiamo italiano 🤷,joy (R)
"@portoilmare Significa che non porto rancore verso chi fa del male, tanto ci penserà il Karma o la Provvidenza a fare giustizia.",anger (W)
"Come è natura sparare cazzate per personaggi come te, ma ritirati.",anger (W)
"Immaginate di pagare una vacanza, d’indossare la mascherina, di essere in mare e di vedervi passare accanto una barca carica di clandestini che attracca indisturbata a #Lampedusa. Il Governo il problema lo conosce ma non vuole risolverlo! #Sicilia #COVID19 https://t.co/6rh4o1KPBL",anger (W)
Non so se rido di più per un pezzo di Juve in finale o perché un italiano deciderà le sorti di francesi vs crucchi.,joy (R)
"SPOILER LUCIFERComunque mi aspettavo che il gemello venisse scoperto tipo all’ultima puntata, invece mi è piaciuto che è stato subito scoperto.  Anche se non so che succede perché ancora non finisco #LuciferSeason5",joy (R)
E comunque questa è la mia parte preferita in assoluto!!💜#DynamiteBsideMV #bts #BTS_Dynamite https://t.co/QOWL7p8hC4,joy (R)
@VittorioSgarbi @stampasgarbi @Briatore @Adnkronos @ilgiornale @Libero_official @Corriere @NicolaPorro @repubblica @pbecchi @nino_ippolito Un tweet studiato per farsi chiamare sessista( scelta della foto) creare polemica e visibilità! Peccato lei non è più brillante come una volta. Sta invecchiando male??,anger (W)
@bbbnzl30 @officialmaz Certo.Grazie di esistere #prescrittese.#anala https://t.co/1X5TiSXlTJ,joy (R)
Buona serata a tutti!😊🌙#visitbassano #visitveneto #BassanodelGrappa #pedemontanavicentina #pedemontanaveneta #veneto #italy #visititaly #RicominciadalVeneto #landscapephotography https://t.co/xL0lK4oZvM,joy (R)
"@BeppeGiulietti @PBerizzi @repubblica @Artventuno @maurobiani @CVerdelli @eziomauro @gadlernertweet ""squadristi"" 🤣🤣🤣🤣🤣",joy (R)
MARK CHE TWITTA DALL’ACCOUNT DEI DREAM LE MIE LACRIME,sadness (E)
Qui per ricordare a tutti che nella quarta stagione avremo anche LEI ❤️👇🏼 #TheCrown https://t.co/SGGltLWQD8,joy (R)
"215 casi nel Lazio, quasi tutti di ritorno dall'estero, ma ben 97 casi sono dalla Sardegna: significa che sono andati in vacanza e si sono mediamente comportati da stronzi quali sono, estero o non estero.",anger (W)
"Come si suol dire ""La fortuna aiuta gli audaci"". E ieri #Conte non lo è stato per niente. #InterSiviglia #EuropaLeagueFinal",sadness (E)
Mi mancano due episodi e ho finito AAAAA #LuciferSeason5,joy (R)
"#Orsato arbitro della finale di champions, è l'epic fail definitivo di napoletani, interisti e antijuventini. Si vola!!! 🛩😅",anger (W)
"Colgo l’occasione di dare il benvenuto ai miei nuovi followers ❤️ per dirvi che oggi abbiamo battuto tutte le pagine gossippare, siamo informazione, siamo il trash e vi amo Bacini",joy (R)
#elisadirivombrosa Maledetta stronza....Hai visto da chi ti dovevi proteggere consigliere?,anger (W)
@formegrafiche Io ho studiato altri 4 anni (mentre lavoravo) per poter svolgere il lavoro che tuttora svolgo. Spesso è una questione di obiettivi. In questo caso non ho alcun rimpianto o di che lamentarmi. Diverso è aspettarsi dalla laurea l'ottenimento del posto di lavoro che avevamo sognato,sadness (E)
"@LelloPinto Trasgredire è una cosa,puó portare conquiste e progresso,puntare dritto verso il muro ed accelerare anzichè frenare (con l’auto piena) è da irresponsabili come dimostrano i seguaci di #Salvini   #salviniCIALTRONE #Salviniblablabla #SalviniGaglioffo #Salvinisomaro",anger (W)
"Ma che strano, ladri e calciofili a braccetto. StraniZZimoH",anger (W)
Io spero che Francesco prenda provvedimenti perché veramente non si può è uno schifo,anger (W)
ATTENZIONE   RICERCATO   EMESSA  UNA  TAGLIA......XXXXXXXLL  😂😂😂😂😂😂😂😂 #Briatore   #Sardegna  #Billionaire https://t.co/7Kh6GL5YlT,joy (R)
"La colpa è di chi compra ancora queste riviste di merda. Avete esposto il sedere di una ragazzina di 13 anni, ma se fossi in Ilary e Totti vi farei una causa da farvi vendere i reni",anger (W)
Per chi volesse approfittare ❣️❣️❣️❣️*fino a esaurimento scorte.,joy (R)
Aspe: tu freghi online i soldi dei coglioni che fanno donazioni per costruire un muro tra USA e Messico e anziché darti un premio ti arrestano?#Bannon,anger (W)
@P_M_1960 È sicuramente bel posto. Comunque in Sardegna è in ottima compagnia. 😍,joy (R)
"io in Sardegna ci andavo in vacanze in Agostoe a caccia in Ottobre-Novembrepoi me lo hanno impedito, magnateli tutti voi sti tordi e da allora non ci vado neanche in ferie",anger (W)
@Rainbow_Luce Buona domenica 🤗😘😘,joy (R)
"@DegliAzzoni @R_Ana87 lo so, ma si poteva intuire anche a maggio e giugno, ci si poteva un minimo attrezzare, visto che per fortuna la Sardegna non era stata fra le regioni più colpite. Non è che mi aspettavo 10.000 tamponi, ma 1/2 mila sì. Non sono allarmata, è solo per gestire meglio la situazione",fear (Q)
"Menomale, la Sicilia ora sì che può sentirsi sicura. L’hanno liberata da un alto tasso di Cannabis. 🤣😭🤦‍♀️",sadness (E)
"@maxdantoni @StefanoFassina Questa storia di barattare una legge elettorale (che tra l'altro si fa presto a dire proporzionale, la proposta dei 5s era fortemente distorsiva) con una riforma costituzionale del genere è un'offesa all'intelligenza dell stesso Fassina oltre che alla nostra. #IoVotoNo",anger (W)
STREAM WALLS perché Lou se lo merita!💙 https://t.co/1yyuqqrbGn,joy (R)
sono l'unico che trova i teatrini di #DeLuca poco divertenti ma solo veramente tristi?,sadness (E)
Ehm si tutto molto bello ma io non ho ancora capito se posso tornare in università.#università,sadness (E)
"No non capisco.Non capisco come possa essere una persona, non è possibile è la perfezione.",joy (R)
"Così come da 3 settimane è in lenta, ma preoccupante crescita anche il numero giornaliero di nuovi pazienti ricoverati con sintomi e di persone in terapia intensiva. #Covid19 #COVID49_negano_ma_contagiano #negazionisti https://t.co/q4z8ZypnHB",fear (Q)
"@AlessandraPodd3 Perché i sardi, navigatori, e la Sardegna centro di rotte del mediterraneo di #contaminazioni non ne sanno nulla ve?#ambecilli!!!",anger (W)
@gadlernertweet @seneca1900 La solita manovra x gli allocchi. Povera Sicilia.,sadness (E)
"@Giorgiolaporta cosa sia il lavoro nei locali, lo so piuttosto bene, faccio (facevo) 50 ore a settimana in un posto piu grande del #Billionaire. di sicuro da Bruxelles, a sbafo, non sai nemmeno lontanamente che vuol dire rischiare la vita per far divertire stronzi ricchi che non pagano le tasse https://t.co/ywfaXmMIqJ",joy (R)
Una che c’ha scritto “femminista” in bio ha messo like a sta merda di tweet 👁👄👁,anger (W)
"@AnsaSardegna Ma pensate a gestire la vostra regione. @nzingaretti le ricordo che la mia terra di #Sardegna era #covidfree, quindi si faccia una domanda e si dia una risposta. E soprattutto non è stato eletto in #Sardegna come presidente per decidere cosa si debba fare qui.",anger (W)
"Ho fatto due conti: l'Italia ha la stessa percentuale morti/popolazione della Svezia, che non ha fatto ALCUN lockdown. Il lockdown non è servito a nulla#COVIDー19 #svezia #COVID19italia Dati presi da https://t.co/jpKsKEMjaK",anger (W)
"Briatore: ""le mogli dei poveri sono tutte cesse""I cessi ricchi e condannati, B. Briatore... invece, le mogli se le comprano!Ma poi si è guardato lui ???Cesso più cesso non si può !!Solo pensare di camminarci al fianco schifo più schifo !!Che squallore di essere umano !!!",anger (W)
https://t.co/pKBKNQwXRa👆🏻piangiamo insieme 💜 #louisislovedparty STREAM WALLS https://t.co/kBLpkZddAF,sadness (E)
"@MediasetTgcom24 In sardegna i contaggi sono solo tra vacanzieri nelle più note località turistiche,  hanno fatto tutto tra loro.",sadness (E)
E allora Soro...ah... #Bannon 😂😂,joy (R)
"⚠️⚠️⚠️--comunque sia, sono davvero molto contenta per questa prima parte e niente ho amato praticamente tutto a partire dalla crescita dei personaggi (maze e micheal a parte🌝) fino alle gioie che ci hanno dato sui deckerstar ❤️ #LuciferSeason5",joy (R)
"Vanno a fare i coglioni in Sardegna, e poi tornano positivi al covid. Ma che cazzo ci siete andati a fare in vacanza quest’anno, io boh. Non ho parole per descrivere la vostra pochezza.",anger (W)
Ahhhhhhhhhhhhhhhhh.Che burlone sto zaia.,joy (R)
845 #Covid_19 #NOmascherina_NOcervello capite che i sovranisti stanno facendo di tutto per fare salire i casi così da incolpare il GOVERNO ??? SVEGLIAAAAA  #845 https://t.co/Hcg2Dk73mf,anger (W)
"Vb raga, ne approfitto: quanto mi mancano! 😭❤️ #TheCrown https://t.co/6gCiarLKdx",sadness (E)
"Anche gli IGNORANTI, se proprio vogliamo...",anger (W)
"Karma:10000/10.-solo quelli di twt mi chiamano così, vi amo-bellissimo fantastico meraviglioso stupendo-💍💍💍💍💍💍",joy (R)
"#Coronavirus Lazio, drive-in per i test al porto di #Civitavecchia. Zingaretti: ""Fare test agli imbarchi da Sardegna"" No, ma con calma eh, potevate aspetta' n'altro po'... 😏https://t.co/M18VmDl6cq via @repubblica",anger (W)
@DinoGiarrusso Te lo scordi brutto buffone !! #IoVotoNO,anger (W)
#COVID49_negano_ma_contagianoA fine settembre a 4000 contagi al giorno brindiamo tanto il covid non esiste. È solo un influenza muoiono più persone mentre fanno la doccia,anger (W)
"Sono in treno ed ho appena finito #LuciferSeason5 adoro adorissimo stagione fenomenale, forse la migliore",joy (R)
"Ma il mozzo della pirata mangiacrauti Faraone ancora parla?....dice la "" MIA SICILIA""...ma se sei stato complice di una delinquente che ha speronato una motovedetta della gdf che difendevano la tua sicilia da clandestini,che cosa parli.....vergognati",anger (W)
"Grande Gaber!!!Infinitamente grazie, Cri. Un fortissimo abbraccio affettuoso ❤❤❤👏👏👏👏",joy (R)
"#COVID49_negano_ma_contagianoPer poi dare tutta la colpa agli immigratiSenza nessuna corrispondenza scientifica (il contagio degli immigrati pesa il 5% circa, questo dicono i numeri VERI!)Ecco la ""Pacchia"" degli immigratiSi riposano (sono stanchi MORTI) https://t.co/aoIV5LN3Yn",anger (W)
@ElisabettaGall7 La solita arrampicatrice opportunista senza scrupoli. Ottima candidata per la lega#DanielaMartani,anger (W)
@MarioGiunta @SkySport Esito scontato! Rescissione consensuale e Allegri nuovo allenatore. Giunta se sarà così aspetto un Suo like!!! Congratulazioni per la Sua professionalità. 👏🏻👏🏻,joy (R)
@Tg1Raiofficial @AzzolinaLucia @MIsocialTW boldrini Sono d’accordo che le opposizioni parlano troppo e spesso a vanvera ma l’esecutivo che ci amministra e molto peggio perché spreca miliardi di € e non fa nulla di buono. Draghi e stato chiaro. I dati certi dicono che il covid 19 ora non è letale.agli it resta solo la riv,anger (W)
i loro ultimi istanti di tranquillità 😭😭#elisadirivombrosa https://t.co/LbH28GGcTc,sadness (E)
@SkyTG24 Un bel vaffanculo alla diocesi ci sta tutto. Sono preoccupati solo perché il business verrebbe meno. Zozzoni maledetti. Il Vangelo e l'umanità non sanno neanche cosa sia. 😈#IOSTOCONMUSUMECI #MusumeciNonMollare,anger (W)
"Fatemi capire, una manica di idioti si fa il giro delle discoteche e dei locali di Ibiza, Malta e Costa portandosi dietro il covid e la colpa è dei sardi perché i casi sono in Sardegna?",anger (W)
"Vi prego, questi lucifer-daniel moment sono il top.Sono due coglioni stratosferici e li AMO. #LuciferSeason5",joy (R)
"Almeno a guardare le prime immagini che erano circolate, avevo molti dubbi su #TheBatman. Questo trailer li azzera tutti: grande voglia di guardarlo quando uscirà. Daje! #Battinson",joy (R)
LE PAGE DELL INTER CHE CONTINUANO A POSTARE COSE MA FATE SALIRE ANCORA PIÙ ANSIA DIO MIO LASCIATEMI IN PACE.#SivigliaInter #UELfinal #ForzaInter #amala,anger (W)
Ma la commissione fake news. .. 😂😂😂😂,joy (R)
"Chloe personaggio migliore di tutta la prima parte, non accetto altre opzioni.#LuciferSeason5",joy (R)
Meritiamo l'estinzione e basta! #BlackLivesMatter #USA,anger (W)
Dite a quel cesso di Antonio Moriconi o come si chiama lui che la Sardegna non ha bisogno di lui,anger (W)
#The100 solo io ho troppa paura per il culo di Murphy (lo stanno elogiando troppo e di solito quando è così il personaggio poi crepa) ormai l'unico che conta davvero in questa miserrima stagione?,fear (Q)
"Daje Sinisa! Uomo vero, e'solo un'altra barriera da scavalcare ❤️⚪🔵🦅",joy (R)
"A me viene solo da piangereSiracusa, il calvario del piccolo Evan: tre ricoveri da maggio, ma lasciato alla madre già indagata… https://t.co/pDguMVKoPw via @repubblica",sadness (E)
@SkyTG24 Un bel vaffanculo alla diocesi ci sta tutto. Sono preoccupati solo perché il business verrebbe meno. Zozzoni maledetti. Il Vangelo e l'umanità non sanno neanche cosa siano. 😈#IOSTOCONMUSUMECI #MusumeciNonMollare,anger (W)
#coronavirus espressione mentre ero dal barbiere ed entra il cliente successivo che dice che è appena rientrato dalla #Sardegna 😇😂😃 https://t.co/cxWpQIZ68u,joy (R)
@flaminiasabate1 @repubblica Certo ....gli Israeliani sono candidi gigli ... è dal 1948 che Israele su quei territori fa quel cavolo che vuole ... ma per un ebreo essere sionista oggi non si sente imbarazzato ?,anger (W)
"Sei arrivato all’Inter e noi tifosi eravamo molto titubanti perché dovevi sostituire un attaccante come Icardi. Giorni dopo giorno ci hai fatto innamorare sempre di più. Io, ad oggi, ti firmerei a vita! Solo chi sbaglia raggiungerà la gloria! #WeLoveYouRom @Inter @RomeluLukaku9",joy (R)
Cosaa?!Con i bts non si sta un attimo tranquilli,joy (R)
Penso purtroppo che sia così ..............,sadness (E)
"@EmanuelaSono Soprattutto dalla Sardegna, ma che hanno combinato li?😫",sadness (E)
il desiderio di infettare il paese deve esserev un grande piacere,anger (W)
Una porcheria insopportabile... un’altra! #BlackLivesMatter,anger (W)
"La mia parte Army e la mia parte Directioner stanno ballando la conga insieme. Ma, chance my mind, so già che questa ""tregua"" non funzionerà, come non ha mai funzionato in passato purtroppo le directioners e le armys stanno meglio senza cagarsi. Mi dispiace#DirectionersWithArmy",sadness (E)
Il solito grezzo che non è in grado di articolare un ragionamento. Preferisce correre dietro a quattro idioti piuttosto che interloquire con milioni di persone che hanno una posizione intermedia e assai variegata. Pensi a cantare che è meglio.#VascoRossi,anger (W)
Brutti stronzi preoccupatevi piuttosto di non fare sbarcare negri infetti sotto casa vostra!,anger (W)
#meloni come si dice a Roma “E mo so... tua”,anger (W)
#AvolteMiPiace sognartima poi l'illusione prende forma e allora arriva la solita lacrima. #unTemaAlGiorno,sadness (E)
"io non ho parole, mi sono venuti i brividikeep fighting, jacob!#BlackLivesMatter https://t.co/3vbu0vPAri",sadness (E)
“anch’io desidero non rivederti mai più” lucrezia sei una grandissima bastarda #elisadirivombrosa https://t.co/SN3YWBrg77,anger (W)
"Ottimo boccone di merda per #Briatore e #Santanche che, dopo due settimane di accuse e sproloqui a mezzo social e TV, adesso devono fare i conti con 6 positivi al #Billionaire. Vi prego @DAVIDPARENZO @lucatelese, invitateli quanto prima a @InOndaLa7.",anger (W)
"@salvinimi Speriamo abbia infettato il briatore/pappalardo, cosi il Covid_19 ce lo toglierà dalle palle.",anger (W)
"Proviamo ad immaginare, in assenza dell'intervento dei Partigiani, cosa sarebbe accaduto se i francesi al nord-ovest e gli jugoslavi di Tito al nord-est, avessero sfondato e occupato i nostri territori del Nord. Ci avrebbero restituito i territori occupati? Ne dubito.",anger (W)
"""Avete imprigionato il mio cuore, Signor Conte, ma non potete tenermi chiusa in una stanza""Nessuno mette da parte Elisa Scalzi di Rivombrosa, futura Contessa Ristori ❤ #elisadirivombrosa",joy (R)
"ogni volta che vado dai cinesi compro sempre delle scrunchies e le pago 1€ all’una, adesso sono andata su amazon ed ho trovato 36 scrunchies tutte di colori diversi a 10€ con tipo 3/4€ di spedizione e penso proprio che le comprerò lmao",joy (R)
Focolaio al #BillionaireMi dispiace per i dipendenti positivi.Ma lo dico? Lo dico.Fammokk Briatò,anger (W)
Il che probabilmente spiega perché la poveretta stava così 😞,sadness (E)
"@DrunkyBorghy @LepuriMatteo Però gli untori siamo noi e vogliono isolarci. Anche su questo ci sarebbe da ridere, visto che la Sardegna è SEMPRE tagliata fuori, tranne quando fa comodo ai Briatoremerda di turno. Allora si apre a cani e soprattutto porci.",anger (W)
"#Azzolina non conosce la differenza traInfrazione edEffrazione.Ora è diventata ""L'eroina"" dei5🤡Pidioti FacciamoGneGne Finti colti.Diversamente intelligenti.Veramente Cazzari.#UnClandestinoAdOgniPiddino #ConteBuffone 🤡#GovernoDelContagio #AzzolinaBocciata https://t.co/6oMWZg8Cah",anger (W)
"Dedicato alla deficiente di ""non c'è coviddi"". Stupida capra!#Covid19Italia",anger (W)
Per noiPer voiPer il Franchi 👏🏟#ForzaViola 💜 #Fiorentina #SerieAFemminile https://t.co/JGIcxje7Tn,joy (R)
@serracchiani @repubblica boldrini Sono d’accordo che le opposizioni parlano troppo e spesso a vanvera ma l’esecutivo che ci amministra e molto peggio perché spreca miliardi di € e non fa nulla di buono. Draghi e stato chiaro. I dati certi dicono che il covid 19 ora non è letale.agli it resta solo la riv,anger (W)
"Guardando il video ho iniziato a dare calci al muro, tra quella faccia di cazzo di Porro, Briatore che fa il fenomeno e il prof Zarrillo che fa le diagnosi al telefono non so chi mi fa innervosire di più",anger (W)
"""Credevi forse che mi sarei rassegnata""""Anzi sarei rimasto deluso se non fossi riuscita a fuggire""""Avete imprigionato il mio cuore signor conte, ma non potete tenermi chiusa dentro una stanza."" Li amo troppo#elisadirivombrosa https://t.co/7f3ZqZbSeG",joy (R)
Bisogna parlare di quanto è stata iconica questa scena #LuciferSeason5 https://t.co/EnXwEdTCcj,joy (R)
"Ma davvero c'è qualcuno che crede che i fascisti, che riaprirebbero i forni crematori, si facciano dei problemi a rubare? #bannon",anger (W)
"Siete un branco di egoisti che pensa solo al proprio, fregandosene di mettere a rischio la vita di tutti gli altri",anger (W)
"@RollingStoneitaHo vissuto intensamente quegli anni e quei dischi che, ancora oggi, di tanto in tanto, mi accompagnano.Bravissimo l'autore",joy (R)
@VittorioSgarbi @stampasgarbi @Briatore @Adnkronos @ilgiornale @Libero_official @Corriere @NicolaPorro @repubblica @pbecchi @nino_ippolito Non capisco davvero perché Lei non continui semplicemente a fare il critico d'arte (in cui è bravissimo). Invece si è trasformato in uno stanco fomentatore di aria fritta.,anger (W)
"1000 e passa contagi oggi,60 in campania di cui solo 4 dall’estero......vi odio come non so cosa",anger (W)
Com'era il fatto che le maglie uscite non erano quelle ufficiali?😁😂L'abbinamento cromatico c'è anche su quelle da allenamento. Direi che ormai è 'ufficialissimo'📌😁 #Leteinbianco #leteout https://t.co/DOJy4E7kQo,joy (R)
È di tendenza #NOmascherina_NOcervello non posso credere che la gente è diventata così deficiente. #Piantatela_di_fare_terrorismo,anger (W)
@GiorgiaMeloni A questo #Berizzi invece della scorta bisognerebbe dargli dell'odiatore di professione 😡🥴🤡,anger (W)
"@LePolemiqueCmoi @anthos555 @francescatotolo @FLOTUS Di sicuro parla l'italiano meglio di te!! Buffone con 3 follower, fatti in 4 anni!!! Naturalmente click, i troll non servono a nulla! 🤣🤣🤣🤣",anger (W)
STREAM WALLS perchè louis tomlinson ci ha blessate con questo capolavoro di album e quindi andate tutti ad ascoltarlo perchè se lo merita ed è stupendo. https://t.co/cVROrFIdDW,joy (R)
"@GiorgiaMeloni IN SARDEGNA senza bisogno di sbarchi c’è un paziente intubato, si tratta del barman del #Billionaire, 59 anni. In isolamento domiciliare ci sono 492 persone, per un totale di 513 attualmente positivi. Questa è realtà. Lei è imbarazzante",anger (W)
MADONNA URLO #TheCrown,joy (R)
@beatrice_tom Sbagli! Per mandare a casa questo governo di cialtroni mafiosi #Pd5 bisogna votare NO #IoVotoNO. Altrimenti si blinderanno dentro e per noi sarà la fine.,anger (W)
"Comunque Fabrizio è un gran signore, nonostante quello che gli ha fatto Lucrezia è riuscito a scaricare la rabbia sulle guardie e non su di lei. Io non l'avrei fatta uscire viva da quella stanza...#elisadirivombrosa",sadness (E)
"Ma se le mura di Walls sono uscite troppo basse e Lou è un fagiolino, praticamente lui ha messo due mattoni uno sopra l’altro 😂STREAM WALLS",joy (R)
Ajò che mi sposo di nuovo😱😱😱Covid: bonus matrimonio in Sardegna per sposi entro dicembre - Sardegna - https://t.co/jGckZp1Iny https://t.co/w4jm9jVz7S,fear (Q)
"un mese fa eravamo dei clown che non riuscivano a smettere di piangere e fare teorie per il MV DI INFINITY rido ancora, dei clown che speravano in un’intervista di tutti loro insieme, clown che aspettavo che zayn mettesse qualcosa. INSOMMA DEI CLOWN #10YearsOfOneDirection https://t.co/jybgIjVlSq",sadness (E)
Adesso dateci Emerson gratis perché spendere soldi per lui sarebbe grave,anger (W)
#coronavirus #Covid_19 #pandemia #NOmascherina_NOcervello CONTINUA5..DIO NON VI STERMINERÀ MA VI DARÀ LA STESSA SOFFERENZA CHE HA DATO AL SUO POPOLO ISRAELE ED EBREO AFFINCHÉ NON DIMENTICHERETE IN ETERNO CHE DIO È DIO PER QUESTA GENERAZIONE PERVERSA E MALVAGIA...   CONTINUA6,anger (W)
"È straziante capire che, nonostante il grande aumento dei positivi, la gente stia continuando a fregarsene svolgendo la sua vita senza restrizioni #NOmascherina_NOcervello #Covid_19",anger (W)
"@erretti42 @Isadolly4 @cocchi2a @Gio2020Gio @aniello7779 @Simone98RC @Dario03678941 @m_spagna @enzo958 @BiwiMobu @MarceVann @francotaratufo2 @CiceroM5S @GianniMagini @CorvinoSantino @CarloneDaniela @carpa2019 @JohnHard3 @PietroCislaghi @cino_1969 @ZuccaOscar @SCavatton @Simo07827689 @carlakak @5_stars4 @marioerdrago @Pincopanco999 @marcellone8 @pdnetwork @Mov5Stelle @beppe_grillo @virginiaraggi @ale_dibattista @erretti @LegaSalvini @meluzzi E dico io, ti vuoi lagnare? Bene, fallo, ma prima fai l'elenco di tutte le cose fatte, porca puttana!Oramai ogni volta che #AdessoDIBBA va in TV, i nostri nemici godono perche' e' sempre la stessa lagnahttps://t.co/0QGKuhswP8",anger (W)
Sempre menzogne e manipolazioni della realtà!,anger (W)
"Sinisa #Mihajlovic combattente sfortunato, ma di sicuro vincerà anche questa! 💪",joy (R)
"@FBiasin Secondo me ora la pazza Inter per esser fedele al suo aggettivo deve superarsi e prendere Sarri , altro che Allegri 💙⚽💙😅😅😅⚽⚽⚽⚽",joy (R)
200 MILIONI  !!!!IN 4.5 GIORNI ESATTI 😍✨🧚‍♀️🤍🥰,joy (R)
E nessuno che indaghi! #togheganze #Covid_19,anger (W)
"Possiamo dire con tanto rispetto che i maschi in questo programma in certi momenti hanno dato sfoggio di alta stupidità, ma li amiamo comunque #elisadirivombrosa",joy (R)
Scusate ma dopo Dynamite gli Ateez non possono droppare una roba del genere.Ho bisogno di tempo per riprendermi. Mi sto sentendo male. È arte pura questa. 🥵#THANXX https://t.co/DyidIelHDN,joy (R)
Che la seconda ondata fosse destinata ad arrivare lo avevano detto in tutte le salse. Speriamo solo di essere più preparati ora e saper gestire meglio tutto #COVID19italia,sadness (E)
"1) questo fa su e giù per la casa in Sardegna (neanche poi fosse chiuso in una cella 3mx3m) nel suo bel giardino.2) non sei un malato terminale, non hai quasi nessun sintomo. Anche meno.3)cosa cazzo dici andate a divertirvi. Ma sei coglione?Melch1o vai a lavorare, seriamente.",anger (W)
Si è vero....E continuano dichiarando un emergenza che non c'è. Se guariamo saranno delusi e le regionali saranno in bella cartina al tornasole,sadness (E)
Forza Nerrazzurri 💙 🖤,joy (R)
"@gadlernertweet Tempi STRANI, @gadlernertweetTipo te che lavori sul @fattoquotidianoOccorre tenere duro verso voi cazzari (c'é dentro a pieno titolo pure #Musumeci) sperando passi",anger (W)
Un mondo di coglioni,anger (W)
#unTemaAlGiorno Una dimostrazione d'amorenon necessità di gioielli;Bastano solo un paio d'occhiche ti guardinocome nessuno ha fatto mai...       ~Paolo Coelho ~#conUnUnico 👀#buonaserata🍸🧡 https://t.co/AtJ7MlSbSb,joy (R)
"Chi è che si era promessa di non dormire tutto il pomeriggio, ma come al solito è quello che è successo?🙃Però almeno al mio risveglio mi sono ritrovata Louis Tomlinson e Stream Walls in tendenza🥰 https://t.co/XcHdS56RfV",joy (R)
"😋 TUTTI PER VOI😋 I numeri parlano. ♥️ 16 salse💙 19 condimenti💛 4 tipi di wurstelSono tanti gli ingredienti che compongono i nostri dogs, li potete scegliere nelle nostre ricette e  potete anche creare il… https://t.co/Lmx73Pb5BE",joy (R)
"basta spostare due ciuffi dalla fronte e da bimbo piccolissimo diventa una bestia, stanca di questa cosa sinceramente  #DynamiteBsideMV https://t.co/yuKTKTgTS7",sadness (E)
"Ultimo giorno di mare qui in Toscana 😌☀️🌊 Dopo 11 giorni in Sicilia, 4 a Pescara e 5 qui a Viareggio.. si torna a casina!!😁😛 Last day at sea here in Tuscany 😌☀️🌊 After 11 days in Sicily, 4 in Pescara and 5 here in… https://t.co/qZEMKQS32P",joy (R)
🇩🇰🇳🇴🇳🇱🇦🇹🇨🇭🇮🇸🇨🇿🇫🇮🇫🇷🇩🇪🇧🇪 permettono il ricongiungimento delle coppie binazionali NON sposate e neanche registrati all’anagrafe da luglio!  @EU_Commission lo richiede. Non stiamo chiedendo l’apertura delle frontiere ma un’esenzione per i nostri partner. #LoveIsNotTourismAiutaci🇮🇹 https://t.co/XEAw09Tn5n,sadness (E)
E NON DIMENTICHIAMO CHE  LO PAGANO PURE  !!!!!!,anger (W)
"Btw, il cambiamento di Murphy dalla prima stagione a questa MAMMA MIAAA🤯🤯  #The100",joy (R)
A-D-O-R-O#DynamiteBsideMV#TAEHYUNG si è perso per strada xD https://t.co/yxyvWqB3Z6,joy (R)
"Con 947 positivi al #Covid_19 con meno #tamponi si inizia a pensare ad un ulteriore stop alla #SerieA. Non sappiamo più che dirvi, con #Petagna positivo e molti altri la situazione inizia a degenerare.Noi ovviamente speriamo nella ripartenza del nostro campionato.Forza!",sadness (E)
vi meritate l’estinzione,anger (W)
"@MediasetTgcom24 Sbaglierò sicuramente, ma qualcosa in sardegna non ha funzionato, sicuramente la testa della gente in primis ..... https://t.co/pfF900tcxu",anger (W)
"comunque sia, sono davvero molto contenta per questa prima parte e niente ho amato praticamente tutto a partire dalla crescita dei personaggi (maze e micheal a parte🌝) fino alle gioie che ci hanno dato sui deckerstar ❤️ #LuciferSeason5",joy (R)
